         MJD           Ac           As           X0           Y0           dX           dY
 48055.00000    -171.1800      45.8629      64.8300     -71.4745     -93.8712    -150.3409 
 48056.00000    -170.8195      46.3598      64.7644     -72.2497     -95.1218    -148.1769 
 48057.00000    -170.5325      46.9915      64.7795     -73.0343     -96.3822    -145.9480 
 48058.00000    -170.6262      47.3825      64.9510     -73.3379     -97.5774    -143.6436 
 48059.00000    -171.1907      47.2894      65.2461     -72.9247     -98.6793    -141.2696 
 48060.00000    -171.9505      46.5855      65.3298     -71.9123     -99.7556    -138.8749 
 48061.00000    -172.5528      45.3657      64.9286     -70.6187    -100.8786    -136.5013 
 48062.00000    -172.8216      43.9610      64.1023     -69.3879    -102.0515    -134.1398 
 48063.00000    -172.6928      42.9392      63.1731     -68.6552    -103.2211    -131.7388 
 48064.00000    -172.1452      42.8871      62.5005     -68.8541    -104.3141    -129.2377 
 48065.00000    -171.0319      43.3144      61.6299     -69.7700    -105.3491    -126.7444 
 48066.00000    -169.3271      43.5344      60.0783     -70.9473    -106.3903    -124.3808 
 48067.00000    -167.5572      43.8416      58.4450     -72.2442    -107.4354    -122.0559 
 48068.00000    -166.1650      44.4824      57.2468     -73.5515    -108.4702    -119.6747 
 48069.00000    -165.2540      45.3234      56.5067     -74.7160    -109.4920    -117.2310 
 48070.00000    -164.5591      46.2952      56.0184     -75.8652    -110.4444    -114.7638 
 48071.00000    -163.7609      47.3638      55.5595     -77.1746    -111.2515    -112.3183 
 48072.00000    -162.8069      48.4081      55.0614     -78.5696    -111.8738    -109.9074 
 48073.00000    -161.8886      49.2085      54.5998     -79.7397    -112.3080    -107.5101 
 48074.00000    -161.4312      49.4123      54.3883     -80.1226    -112.5824    -105.0704 
 48075.00000    -161.5404      49.1417      54.5073     -79.7692    -112.7963    -102.5660 
 48076.00000    -161.9984      48.8551      54.8615     -79.2181    -113.0604    -100.0153 
 48077.00000    -162.6112      48.8203      55.3297     -78.8217    -113.4287     -97.4347 
 48078.00000    -163.2553      49.0237      55.7932     -78.6320    -113.8924     -94.8318 
 48079.00000    -163.8473      49.2038      56.1329     -78.4421    -114.3882     -92.2083 
 48080.00000    -164.2222      48.7778      56.1270     -77.7707    -114.7790     -89.5743 
 48081.00000    -164.2869      47.6121      55.7178     -76.5460    -115.0113     -86.9707 
 48082.00000    -164.1056      46.0525      55.0673     -75.0961    -115.1211     -84.4427 
 48083.00000    -163.7978      44.4491      54.3733     -73.7228    -115.1458     -82.0118 
 48084.00000    -163.4522      42.9920      53.7687     -72.5592    -115.0937     -79.6608 
 48085.00000    -163.2573      41.9128      53.5266     -71.6936    -114.9314     -77.3083 
 48086.00000    -163.3783      41.3303      53.8340     -71.1470    -114.6494     -74.8933 
 48087.00000    -163.8347      41.0921      54.6156     -70.7820    -114.2859     -72.4119 
 48088.00000    -164.4988      40.7156      55.5312     -70.2202    -113.9312     -69.9061 
 48089.00000    -165.2299      39.8250      56.2878     -69.1742    -113.6646     -67.4158 
 48090.00000    -165.9776      38.5110      56.8562     -67.7338    -113.5076     -64.9341 
 48091.00000    -166.7180      37.0442      57.3026     -66.1453    -113.4411     -62.4400 
 48092.00000    -167.3728      35.6649      57.6390     -64.6534    -113.4262     -59.9289 
 48093.00000    -167.7599      34.6748      57.7998     -63.6003    -113.3945     -57.4176 
 48094.00000    -167.7466      34.2964      57.7329     -63.2352    -113.2820     -54.9236 
 48095.00000    -167.4598      34.3527      57.5442     -63.3296    -113.0547     -52.4248 
 48096.00000    -167.1167      34.5527      57.3888     -63.5266    -112.7168     -49.8894 
 48097.00000    -166.8513      34.7336      57.3498     -63.6401    -112.2944     -47.3101 
 48098.00000    -166.7106      34.8010      57.4302     -63.5898    -111.8234     -44.7025 
 48099.00000    -166.6750      34.6962      57.5667     -63.3576    -111.3490     -42.1009 
 48100.00000    -166.6428      34.4718      57.5737     -63.0584    -110.9667     -39.5576 
 48101.00000    -166.5021      34.6077      57.4384     -63.2354    -110.6070     -37.1316 
 48102.00000    -166.5794      35.1005      57.6151     -63.9061    -110.1260     -34.8601 
 48103.00000    -166.8303      35.5019      57.9999     -64.4893    -109.5583     -32.5995 
 48104.00000    -166.5208      35.7441      57.7548     -64.7090    -109.0119     -30.1299 
 48105.00000    -165.4995      35.8558      56.7600     -64.6929    -108.4615     -27.5769 
 48106.00000    -164.1915      35.7864      55.5110     -64.5998    -107.8443     -25.1721 
 48107.00000    -162.9815      35.5870      54.4034     -64.5372    -107.1566     -22.9707 
 48108.00000    -162.1449      35.6351      53.6254     -64.7283    -106.4720     -20.8006 
 48109.00000    -161.8464      36.1226      53.2790     -65.2437    -105.8295     -18.5148 
 48110.00000    -161.7158      36.8631      53.0198     -65.9397    -105.1990     -16.1634 
 48111.00000    -161.3103      37.1356      52.5916     -66.1805    -104.4535     -13.8649 
 48112.00000    -160.5296      36.2367      52.1057     -65.2929    -103.4808     -11.6675 
 48113.00000    -159.7011      34.7151      51.7363     -63.7075    -102.4169      -9.4271 
 48114.00000    -159.1661      33.4236      51.5659     -62.2192    -101.4270      -7.0453 
 48115.00000    -159.2843      32.9013      51.7852     -61.6193    -100.5821      -4.7140 
 48116.00000    -160.0383      33.0774      52.4080     -62.0368     -99.8253      -2.6113 
 48117.00000    -160.7545      32.9361      53.1328     -62.3016     -98.9459      -0.6667 
 48118.00000    -160.7400      32.4350      53.2953     -62.0276     -97.9508       1.3286 
 48119.00000    -159.8314      32.3244      52.4443     -61.7709     -96.9949       3.4889 
 48120.00000    -158.8144      32.3089      51.3868     -61.5485     -96.0955       5.6441 
 48121.00000    -158.5092      31.8033      51.0985     -61.1580     -95.2108       7.6185 
 48122.00000    -158.7714      31.0447      51.3869     -60.7442     -94.3477       9.4952 
 48123.00000    -159.3901      30.5747      51.9369     -60.6529     -93.4776      11.4210 
 48124.00000    -160.3153      30.6362      52.6609     -61.0366     -92.5555      13.4736 
 48125.00000    -161.4321      30.7996      53.5773     -61.4708     -91.5535      15.6393 
